Postcode,Stroke Team,long,lat,LSOA11CD,LSOA11NM,LSOA11NMW,LSOA11NMW,LSOA11BNG_E,LSOA11BNG_N,LSOA11LONG,LSOA11LAT,MSOA11CD,MSOA11NM,CCG19CD,CCG19NM,ICB22CD,ICB22NM,LAD17CD,LAD17NM,STP19CD,STP19NM,LHB20CD,LHB20NM,LHB20NMW,SCN17CD,SCN17NM,RGN11CD,RGN11NM,CTRY11NM
LL185UJ,Glan Clwyd District General Hospital,-3.4963452,53.271755,W01000191,Denbighshire 009A,Sir Ddinbych 009A,Sir Ddinbych 009A,300655.0,376547.0,-3.49132,53.27658,W02000050,Denbighshire 009,,,,,W06000004,Denbighshire,,,W11000023,Betsi Cadwaladr University Health Board,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,,,W92000004,Wales,Wales
LL572PW,Ysbyty Gwynedd,-4.1598251,53.20902,W01000102,Gwynedd 002E,Gwynedd 002E,Gwynedd 002E,256044.0,369033.0,-4.15651,53.19884,W02000011,Gwynedd 002,,,,,W06000002,Gwynedd,,,W11000023,Betsi Cadwaladr University Health Board,Bwrdd Iechyd Prifysgol Betsi Cadwaladr,,,W92000004,Wales,Wales
LN25QY,Lincoln County Hospital,-0.51814791,53.232388,E01026125,Lincoln 003A,Lincoln 003A,Lincoln 003A,498961.0,371946.0,-0.51878,53.23535,E02005444,Lincoln 003,E38000100,NHS Lincolnshire West CCG,E54000013,NHS Lincolnshire Integrated Care Board,E07000138,Lincoln,E54000013,Lincolnshire,,,,E55000007,East Midlands,E12000004,East Midlands,England
LS13EX,Leeds General Infirmary,-1.5517436,53.801445,E01033008,Leeds 111A,Leeds 111A,Leeds 111A,429481.0,433789.0,-1.55389,53.79959,E02006875,Leeds 111,E38000225,NHS Leeds CCG,E54000054,NHS West Yorkshire Integrated Care Board,E08000035,Leeds,E54000005,West Yorkshire and Harrogate (Health and Care Partnership),,,,E55000005,Yorkshire and The Humber,E12000003,Yorkshire and The Humber,England
LU40DZ,Luton and Dunstable Hospital,-0.47426894,51.894177,E01015713,Luton 013A,Luton 013A,Luton 013A,505370.0,222820.0,-0.47012,51.89398,E02003270,Luton 013,E38000102,NHS Luton CCG,E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",E06000032,Luton,E54000024,"Bedfordshire, Luton and Milton Keynes",,,,E55000006,East of England,E12000006,East of England,England
M68HD,Salford Royal Hospital,-2.3226835,53.487232,E01005719,Salford 021C,Salford 021C,Salford 021C,378479.0,398746.0,-2.32578,53.485,E02001177,Salford 021,E38000143,NHS Salford CCG,E54000057,NHS Greater Manchester Integrated Care Board,E08000006,Salford,E54000007,Greater Manchester Health and Social Care Partnership,,,,E55000003,"Greater Manchester, Lancashire and South Cumbria",E12000002,North West,England
ME169QQ,Maidstone District General Hospital,0.48397392,51.273662,E01033088,Maidstone 008F,Maidstone 008F,Maidstone 008F,573422.0,155655.0,0.484864,51.27365,E02005075,Maidstone 008,E38000199,NHS West Kent CCG,E54000032,NHS Kent and Medway Integrated Care Board,E07000110,Maidstone,E54000032,Kent and Medway,,,,E55000010,South East Coast,E12000008,South East,England
ME75NY,Medway Maritime Hospital,0.54221759,51.378267,E01016048,Medway 016D,Medway 016D,Medway 016D,577062.0,167372.0,0.542809,51.37778,E02003329,Medway 016,E38000104,NHS Medway CCG,E54000032,NHS Kent and Medway Integrated Care Board,E06000035,Medway,E54000032,Kent and Medway,,,,E55000010,South East Coast,E12000008,South East,England
MK65LD,Milton Keynes General Hospital,-0.73579539,52.026383,E01016845,Milton Keynes 018C,Milton Keynes 018C,Milton Keynes 018C,487033.0,237015.0,-0.73293,52.02474,E02003476,Milton Keynes 018,E38000107,NHS Milton Keynes CCG,E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",E06000042,Milton Keynes,E54000024,"Bedfordshire, Luton and Milton Keynes",,,,E55000007,East Midlands,E12000008,South East,England
NE14LP,Royal Victoria Infirmary,-1.6181094,54.979753,E01008395,Newcastle upon Tyne 024B,Newcastle upon Tyne 024B,Newcastle upon Tyne 024B,423845.0,566233.0,-1.62888,54.99012,E02001731,Newcastle upon Tyne 024,E38000212,NHS Newcastle Gateshead CCG,E54000050,NHS North East and North Cumbria Integrated Care Board,E08000021,Newcastle upon Tyne,E54000049,Cumbria and North East,,,,E55000004,Northern England,E12000001,North East,England
NE236NZ,Northumbria Specialist Emergency Care Hospital HASU,-1.5694923,55.074089,E01027394,Northumberland 031A,Northumberland 031A,Northumberland 031A,427385.0,575773.0,-1.57265,55.07567,E02005718,Northumberland 031,E38000130,NHS Northumberland CCG,E54000050,NHS North East and North Cumbria Integrated Care Board,E06000057,Northumberland,E54000049,Cumbria and North East,,,,E55000004,Northern England,E12000001,North East,England
NG174JL,Kings Mill Hospital,-1.2380927,53.134692,E01027985,Ashfield 004E,Ashfield 004E,Ashfield 004E,450986.0,360034.0,-1.23935,53.13505,E02005822,Ashfield 004,E38000103,NHS Mansfield and Ashfield CCG,E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,E07000170,Ashfield,E54000014,Nottingham and Nottinghamshire Health and Care,,,,E55000007,East Midlands,E12000004,East Midlands,England
NG72UH,Queen's Medical Centre - Nottingham,-1.1857996,52.943439,E01033410,Nottingham 031I,Nottingham 031I,Nottingham 031I,454638.0,337782.0,-1.18853,52.93468,E02002898,Nottingham 031,E38000132,NHS Nottingham City CCG,E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,E06000018,Nottingham,E54000014,Nottingham and Nottinghamshire Health and Care,,,,E55000007,East Midlands,E12000004,East Midlands,England
NN15BD,Northampton General Hospital,-0.88668728,52.237132,E01027223,Northampton 025A,Northampton 025A,Northampton 025A,475839.0,260371.0,-0.89085,52.23633,E02005674,Northampton 025,E38000108,NHS Nene CCG,E54000059,NHS Northamptonshire Integrated Care Board,E07000154,Northampton,E54000020,Northamptonshire,,,,E55000007,East Midlands,E12000004,East Midlands,England
NP448YN,Grange University Hospital,-2.9963314,51.646288,W01001508,Torfaen 013C,Tor-faen 013C,Tor-faen 013C,330783.0,194302.0,-3.0017,51.64324,W02000335,Torfaen 013,,,,,W06000020,Torfaen,,,W11000028,Aneurin Bevan University Health Board,Bwrdd Iechyd Prifysgol Aneurin Bevan,,,W92000004,Wales,Wales
NR316LA,James Paget Hospital,1.7179799,52.561672,E01026617,Great Yarmouth 011A,Great Yarmouth 011A,Great Yarmouth 011A,651858.0,302692.0,1.714707,52.56373,E02005548,Great Yarmouth 011,E38000063,NHS Great Yarmouth and Waveney CCG,E54000022,NHS Norfolk and Waveney Integrated Care Board,E07000145,Great Yarmouth,E54000022,Norfolk and Waveney Health and Care Partnership,,,,E55000006,East of England,E12000006,East of England,England
NR47UY,Norfolk and Norwich University Hospital,1.2210668,52.618086,E01026883,South Norfolk 002C,South Norfolk 002C,South Norfolk 002C,616500.0,308371.0,1.197671,52.62991,E02005598,South Norfolk 002,E38000219,NHS South Norfolk CCG,E54000022,NHS Norfolk and Waveney Integrated Care Board,E07000149,South Norfolk,E54000022,Norfolk and Waveney Health and Care Partnership,,,,E55000006,East of England,E12000006,East of England,England
NW12BU,University College Hospital HASU,-0.13701251,51.524865,E01000854,Camden 026D,Camden 026D,Camden 026D,529410.0,182122.0,-0.13604,51.52319,E02000191,Camden 026,E38000027,NHS Camden CCG,E54000028,NHS North Central London Integrated Care Board,E09000007,Camden,E54000028,North London Partners in Health and Care,,,,E55000014,London,E12000007,London,England
OX39DU,John Radcliffe Hospital,-1.2198064,51.763871,E01028534,Oxford 006A,Oxford 006A,Oxford 006A,453819.0,207382.0,-1.22156,51.76254,E02005945,Oxford 006,E38000136,NHS Oxfordshire CCG,E54000044,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E07000178,Oxford,E54000044,"Buckinghamshire, Oxfordshire and Berkshire West",,,,E55000011,Thames Valley,E12000008,South East,England
PE304ET,Queen Elizabeth Hospital Kings Lynn,0.44699931,52.756781,E01026714,King's Lynn and West Norfolk 010D,King's Lynn and West Norfolk 010D,King's Lynn and West Norfolk 010D,564817.0,320878.0,0.441109,52.76038,E02005560,King's Lynn and West Norfolk 010,E38000203,NHS West Norfolk CCG,E54000022,NHS Norfolk and Waveney Integrated Care Board,E07000146,King's Lynn and West Norfolk,E54000022,Norfolk and Waveney Health and Care Partnership,,,,E55000006,East of England,E12000006,East of England,England
PE39GZ,Peterborough City Hospital,-0.28009333,52.585451,E01015691,Peterborough 015E,Peterborough 015E,Peterborough 015E,516923.0,299722.0,-0.27574,52.58276,E02003251,Peterborough 015,E38000026,NHS Cambridgeshire and Peterborough CCG,E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,E06000031,Peterborough,E54000021,Cambridgeshire and Peterborough,,,,E55000006,East of England,E12000006,East of England,England
PL68DH,Derriford Hospital,-4.1136845,50.41672,E01015092,Plymouth 005C,Plymouth 005C,Plymouth 005C,249807.0,59251.0,-4.11531,50.41386,E02003126,Plymouth 005,E38000230,NHS Devon CCG,E54000037,NHS Devon Integrated Care Board,E06000026,Plymouth,E54000037,Devon,,,,E55000009,South West,E12000009,South West,England
PO196SE,St Richards Hospital,-0.7680267,50.843562,E01031483,Chichester 008B,Chichester 008B,Chichester 008B,487247.0,105669.0,-0.76214,50.84396,E02006568,Chichester 008,E38000213,NHS Coastal West Sussex CCG,E54000053,NHS Sussex Integrated Care Board,E07000225,Chichester,E54000033,Sussex and East Surrey,,,,E55000010,South East Coast,E12000008,South East,England
PO305TG,St Mary's Hospital Newport,-1.3008871,50.711101,E01017334,Isle of Wight 008E,Isle of Wight 008E,Isle of Wight 008E,449164.0,91549.0,-1.30488,50.72148,E02003588,Isle of Wight 008,E38000087,NHS Isle of Wight CCG,E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,E06000046,Isle of Wight,E54000042,Hampshire and the Isle of Wight,,,,E55000012,Wessex,E12000008,South East,England
PO63LY,Queen Alexandra Hospital Portsmouth,-1.0713238,50.849589,E01017051,Portsmouth 002A,Portsmouth 002A,Portsmouth 002A,465509.0,106003.0,-1.07079,50.84983,E02003525,Portsmouth 002,E38000137,NHS Portsmouth CCG,E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,E06000044,Portsmouth,E54000042,Hampshire and the Isle of Wight,,,,E55000012,Wessex,E12000008,South East,England
PR29HT,Royal Preston Hospital,-2.7074034,53.79135,E01025300,Preston 004D,Preston 004D,Preston 004D,354151.0,432764.0,-2.6974,53.78917,E02005256,Preston 004,E38000227,NHS Greater Preston CCG,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,E07000123,Preston,E54000048,Healthier Lancashire and South Cumbria,,,,E55000003,"Greater Manchester, Lancashire and South Cumbria",E12000002,North West,England
RG15AN,Royal Berkshire Hospital,-0.95864504,51.451402,E01016414,Reading 014F,Reading 014F,Reading 014F,472527.0,172884.0,-0.95765,51.4503,E02003402,Reading 014,E38000221,NHS Berkshire West CCG,E54000044,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E06000038,Reading,E54000044,"Buckinghamshire, Oxfordshire and Berkshire West",,,,E55000011,Thames Valley,E12000008,South East,England
RH15RH,East Surrey Hospital,-0.16128808,51.218607,E01030572,Reigate and Banstead 014C,Reigate and Banstead 014C,Reigate and Banstead 014C,528479.0,148370.0,-0.16164,51.22007,E02006388,Reigate and Banstead 014,E38000054,NHS East Surrey CCG,E54000052,NHS Surrey Heartlands Integrated Care Board,E07000211,Reigate and Banstead,E54000033,Sussex and East Surrey,,,,E55000010,South East Coast,E12000008,South East,England
RH164EX,Princess Royal Hospital Haywards Heath,-0.091075995,50.991198,E01031756,Mid Sussex 011E,Mid Sussex 011E,Mid Sussex 011E,534048.0,122732.0,-0.09146,50.98838,E02006614,Mid Sussex 011,E38000083,NHS Horsham and Mid Sussex CCG,E54000053,NHS Sussex Integrated Care Board,E07000228,Mid Sussex,E54000033,Sussex and East Surrey,,,,E55000010,South East Coast,E12000008,South East,England
RM70AG,Queens Hospital Romford HASU,0.17891397,51.568622,E01002248,Havering 017C,Havering 017C,Havering 017C,550391.0,187661.0,0.168526,51.56777,E02000480,Havering 017,E38000077,NHS Havering CCG,E54000029,NHS North East London Integrated Care Board,E09000016,Havering,E54000029,East London Health and Care Partnership,,,,E55000014,London,E12000007,London,England
S102JF,Royal Hallamshire Hospital,-1.4934651,53.378472,E01007866,Sheffield 030A,Sheffield 030A,Sheffield 030A,433881.0,387213.0,-1.49213,53.3807,E02001640,Sheffield 030,E38000146,NHS Sheffield CCG,E54000061,NHS South Yorkshire Integrated Care Board,E08000019,Sheffield,E54000009,South Yorkshire and Bassetlaw,,,,E55000005,Yorkshire and The Humber,E12000003,Yorkshire and The Humber,England
S445BL,Chesterfield Royal,-1.4000812,53.236223,E01019585,Chesterfield 012G,Chesterfield 012G,Chesterfield 012G,439664.0,371022.0,-1.40721,53.23477,E02004066,Chesterfield 012,E38000229,NHS Derby and Derbyshire CCG,E54000058,NHS Derby and Derbyshire Integrated Care Board,E07000034,Chesterfield,E54000012,Joined Up Care Derbyshire,,,,E55000007,East Midlands,E12000004,East Midlands,England
SA148QF,Prince Philip Hospital,-4.1359742,51.691612,W01000652,Carmarthenshire 020B,Sir Gaerfyrddin 020B,Sir Gaerfyrddin 020B,252192.0,201433.0,-4.13988,51.69214,W02000161,Carmarthenshire 020,,,,,W06000010,Carmarthenshire,,,W11000025,Hywel Dda University Health Board,Bwrdd Iechyd Prifysgol Hywel Dda,,,W92000004,Wales,Wales
SA312AF,West Wales General,-4.2847226,51.867524,W01000640,Carmarthenshire 007D,Sir Gaerfyrddin 007D,Sir Gaerfyrddin 007D,242294.0,221982.0,-4.29231,51.87405,W02000148,Carmarthenshire 007,,,,,W06000010,Carmarthenshire,,,W11000025,Hywel Dda University Health Board,Bwrdd Iechyd Prifysgol Hywel Dda,,,W92000004,Wales,Wales
SA612PZ,Withybush General Hospital,-4.9650724,51.812716,W01000572,Pembrokeshire 005D,Sir Benfro 005D,Sir Benfro 005D,195982.0,216488.0,-4.96096,51.80971,W02000130,Pembrokeshire 005,,,,,W06000009,Pembrokeshire,,,W11000025,Hywel Dda University Health Board,Bwrdd Iechyd Prifysgol Hywel Dda,,,W92000004,Wales,Wales
SA66NL,Morriston Hospital,-3.9352525,51.684652,W01000816,Swansea 003F,Abertawe 003F,Abertawe 003F,266467.0,200202.0,-3.93301,51.68465,W02000170,Swansea 003,,,,,W06000011,Swansea,,,W11000031,Swansea Bay University Health Board,Bwrdd Iechyd Prifysgol Bae Abertawe,,,W92000004,Wales,Wales
SE59RW,King's College Hospital HASU,-0.093251533,51.469505,E01003076,Lambeth 014C,Lambeth 014C,Lambeth 014C,532410.0,175922.0,-0.09515,51.46678,E02000631,Lambeth 014,E38000092,NHS Lambeth CCG,E54000030,NHS South East London Integrated Care Board,E09000022,Lambeth,E54000030,Our Healthier South East London,,,,E55000014,London,E12000007,London,England
SG14AB,Lister Hospital,-0.21272607,51.924611,E01023800,Stevenage 002E,Stevenage 002E,Stevenage 002E,522920.0,226512.0,-0.21389,51.92357,E02004945,Stevenage 002,E38000049,NHS East and North Hertfordshire CCG,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,E07000243,Stevenage,E54000025,Hertfordshire and West Essex,,,,E55000006,East of England,E12000006,East of England,England
SK27JE,Stepping Hill Hospital,-2.1320199,53.383787,E01005801,Stockport 027B,Stockport 027B,Stockport 027B,391034.0,387415.0,-2.13625,53.38352,E02001213,Stockport 027,E38000174,NHS Stockport CCG,E54000057,NHS Greater Manchester Integrated Care Board,E08000007,Stockport,E54000007,Greater Manchester Health and Social Care Partnership,,,,E55000003,"Greater Manchester, Lancashire and South Cumbria",E12000002,North West,England
SN36BB,Great Western Hospital Swindon,-1.7276925,51.538161,E01015583,Swindon 025A,Swindon 025A,Swindon 025A,417001.0,179047.0,-1.7564,51.51009,E02003236,Swindon 025,E38000181,NHS Swindon CCG,E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E06000030,Swindon,E54000040,"Bath and North East Somerset, Swindon and Wiltshire",,,,E55000009,South West,E12000009,South West,England
SO166YD,Southampton General Hospital,-1.435104,50.933019,E01017251,Southampton 010C,Southampton 010C,Southampton 010C,439606.0,114748.0,-1.43778,50.93082,E02003558,Southampton 010,E38000167,NHS Southampton CCG,E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,E06000045,Southampton,E54000042,Hampshire and the Isle of Wight,,,,E55000012,Wessex,E12000008,South East,England
SO225DG,Royal Hampshire County Hospital,-1.3309587,51.061375,E01023263,Winchester 007C,Winchester 007C,Winchester 007C,446834.0,129125.0,-1.33308,51.05955,E02004835,Winchester 007,E38000198,NHS West Hampshire CCG,E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,E07000094,Winchester,E54000042,Hampshire and the Isle of Wight,,,,E55000012,Wessex,E12000008,South East,England
SP28BJ,Salisbury District Hospital,-1.7898225,51.043955,E01032000,Wiltshire 057A,Wiltshire 057A,Wiltshire 057A,413522.0,125592.0,-1.80854,51.02953,E02006672,Wiltshire 057,E38000206,NHS Wiltshire CCG,E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",E06000054,Wiltshire,E54000040,"Bath and North East Somerset, Swindon and Wiltshire",,,,E55000009,South West,E12000009,South West,England
SR47TP,Sunderland Royal Hospital,-1.4110182,54.903063,E01008704,Sunderland 011B,Sunderland 011B,Sunderland 011B,438033.0,556876.0,-1.40839,54.90517,E02001801,Sunderland 011,E38000176,NHS Sunderland CCG,E54000050,NHS North East and North Cumbria Integrated Care Board,E08000024,Sunderland,E54000049,Cumbria and North East,,,,E55000004,Northern England,E12000001,North East,England
SS00RY,Southend Hospital,0.68909337,51.553836,E01015860,Southend-on-Sea 004D,Southend-on-Sea 004D,Southend-on-Sea 004D,586933.0,187370.0,0.695047,51.55424,E02003282,Southend-on-Sea 004,E38000168,NHS Southend CCG,E54000026,NHS Mid and South Essex Integrated Care Board,E06000033,Southend-on-Sea,E54000026,Mid and South Essex,,,,E55000006,East of England,E12000006,East of England,England
SS165NL,Basildon University Hospital,0.45055726,51.557686,E01021297,Basildon 020D,Basildon 020D,Basildon 020D,569960.0,187429.0,0.450503,51.56013,E02004443,Basildon 020,E38000007,NHS Basildon and Brentwood CCG,E54000026,NHS Mid and South Essex Integrated Care Board,E07000066,Basildon,E54000026,Mid and South Essex,,,,E55000006,East of England,E12000006,East of England,England
ST46QG,Royal Stoke University Hospital,-2.2148723,53.004021,E01014294,Stoke-on-Trent 018F,Stoke-on-Trent 018F,Stoke-on-Trent 018F,386120.0,345108.0,-2.20828,53.00312,E02002968,Stoke-on-Trent 018,E38000175,NHS Stoke on Trent CCG,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,E06000021,Stoke-on-Trent,E54000010,Staffordshire and Stoke on Trent,,,,E55000008,West Midlands,E12000005,West Midlands,England
SW170QT,St George's Hospital HASU,-0.17574589,51.426727,E01004617,Wandsworth 034D,Wandsworth 034D,Wandsworth 034D,526881.0,171258.0,-0.17637,51.42613,E02000956,Wandsworth 034,E38000193,NHS Wandsworth CCG,E54000031,NHS South West London Integrated Care Board,E09000032,Wandsworth,E54000031,South West London Health and Care Partnership,,,,E55000014,London,E12000007,London,England
SW66SX,Charing Cross Hospital HASU,-0.21272176,51.473716,E01001906,Hammersmith and Fulham 022C,Hammersmith and Fulham 022C,Hammersmith and Fulham 022C,524352.0,176663.0,-0.21083,51.47527,E02000393,Hammersmith and Fulham 022,E38000070,NHS Hammersmith and Fulham CCG,E54000027,NHS North West London Integrated Care Board,E09000013,Hammersmith and Fulham,E54000027,North West London Health and Care Partnership,,,,E55000014,London,E12000007,London,England
SY231ER,Bronglais Hospital,-4.0715775,52.416068,W01000512,Ceredigion 002A,Ceredigion 002A,Ceredigion 002A,259109.0,281629.0,-4.07296,52.41447,W02000117,Ceredigion 002,,,,,W06000008,Ceredigion,,,W11000025,Hywel Dda University Health Board,Bwrdd Iechyd Prifysgol Hywel Dda,,,W92000004,Wales,Wales
TA15DA,Musgrove Park Hospital,-3.1197783,51.01197,E01029302,Taunton Deane 011D,Taunton Deane 011D,Taunton Deane 011D,321674.0,124269.0,-3.1179,51.01244,E02006109,Taunton Deane 011,E38000150,NHS Somerset CCG,E54000038,NHS Somerset Integrated Care Board,E07000190,Taunton Deane,E54000038,Somerset,,,,E55000009,South West,E12000009,South West,England
TF16TF,Princess Royal Hospital Telford,-2.510547,52.712417,E01014102,Telford and Wrekin 007A,Telford and Wrekin 007A,Telford and Wrekin 007A,365679.0,313565.0,-2.50953,52.71865,E02002934,Telford and Wrekin 007,E38000183,NHS Telford and Wrekin CCG,E54000011,"NHS Shropshire, Telford and Wrekin Integrated Care Board",E06000020,Telford and Wrekin,E54000011,Shropshire and Telford and Wrekin,,,,E55000008,West Midlands,E12000005,West Midlands,England
TN240LZ,William Harvey Hospital,0.91620878,51.141489,E01024004,Ashford 006E,Ashford 006E,Ashford 006E,603575.0,142234.0,0.908982,51.14316,E02005001,Ashford 006,E38000002,NHS Ashford CCG,E54000032,NHS Kent and Medway Integrated Care Board,E07000105,Ashford,E54000032,Kent and Medway,,,,E55000010,South East Coast,E12000008,South East,England
TQ27AA,Torbay Hospital,-3.5537901,50.482325,E01015251,Torbay 003C,Torbay 003C,Torbay 003C,289687.0,65704.0,-3.55616,50.48072,E02003156,Torbay 003,E38000230,NHS Devon CCG,E54000037,NHS Devon Integrated Care Board,E06000027,Torbay,E54000037,Devon,,,,E55000009,South West,E12000009,South West,England
TR13LQ,Royal Cornwall Hospital,-5.0946045,50.267934,E01018855,Cornwall 043C,Cornwall 043C,Cornwall 043C,179334.0,45126.0,-5.09766,50.26477,E02003909,Cornwall 043,E38000089,NHS Kernow CCG,E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,E06000052,Cornwall,E54000036,Cornwall and the Isles of Scilly,,,,E55000009,South West,E12000009,South West,England
TS198PE,University Hospitals of North Tees and Hartlepool,-1.3467595,54.582933,E01032544,Stockton-on-Tees 009H,Stockton-on-Tees 009H,Stockton-on-Tees 009H,442142.0,520798.0,-1.34953,54.58065,E02002543,Stockton-on-Tees 009,E38000075,NHS Hartlepool and Stockton-on-Tees CCG,E54000050,NHS North East and North Cumbria Integrated Care Board,E06000004,Stockton-on-Tees,E54000049,Cumbria and North East,,,,E55000004,Northern England,E12000001,North East,England
TS43BW,James Cook University Hospital,-1.2142736,54.552075,E01012018,Middlesbrough 011A,Middlesbrough 011A,Middlesbrough 011A,450737.0,517913.0,-1.21706,54.55394,E02002506,Middlesbrough 011,E38000162,NHS South Tees CCG,E54000050,NHS North East and North Cumbria Integrated Care Board,E06000002,Middlesbrough,E54000049,Cumbria and North East,,,,E55000004,Northern England,E12000001,North East,England
WD180HB,Watford General Hospital,-0.40447202,51.649051,E01023901,Watford 010C,Watford 010C,Watford 010C,510560.0,196042.0,-0.40325,51.65231,E02004977,Watford 010,E38000079,NHS Herts Valleys CCG,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,E07000103,Watford,E54000025,Hertfordshire and West Essex,,,,E55000006,East of England,E12000006,East of England,England
WF14DG,Pinderfields Hospital,-1.4884777,53.69258,E01011884,Wakefield 017A,Wakefield 017A,Wakefield 017A,433476.0,421980.0,-1.49451,53.69321,E02002454,Wakefield 017,E38000190,NHS Wakefield CCG,E54000054,NHS West Yorkshire Integrated Care Board,E08000036,Wakefield,E54000005,West Yorkshire and Harrogate (Health and Care Partnership),,,,E55000005,Yorkshire and The Humber,E12000003,Yorkshire and The Humber,England
WR51DD,Worcestershire Royal Hospital,-2.1811435,52.191202,E01032309,Worcester 010D,Worcester 010D,Worcester 010D,387034.0,254422.0,-2.19107,52.18789,E02006743,Worcester 010,E38000166,NHS South Worcestershire CCG,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,E07000237,Worcester,E54000019,Herefordshire and Worcestershire,,,,E55000008,West Midlands,E12000005,West Midlands,England
WV100QP,New Cross Hospital,-2.0963786,52.598247,E01010476,Wolverhampton 015E,Wolverhampton 015E,Wolverhampton 015E,393666.0,300014.0,-2.09493,52.59789,E02002163,Wolverhampton 015,E38000210,NHS Wolverhampton CCG,E54000062,NHS Black Country Integrated Care Board,E08000031,Wolverhampton,E54000016,The Black Country and West Birmingham,,,,E55000008,West Midlands,E12000005,West Midlands,England
YO318HE,York Hospital,-1.0836401,53.970547,E01013343,York 009A,York 009A,York 009A,460344.0,453106.0,-1.08157,53.97053,E02002780,York 009,E38000188,NHS Vale of York CCG,E54000051,NHS Humber and North Yorkshire Integrated Care Board,E06000014,York,E54000006,"Humber, Coast and Vale",,,,E55000005,Yorkshire and The Humber,E12000003,Yorkshire and The Humber,England
